name,detail_url,pdf_url,local_path,download_status
F45 Training Incorporated,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=640736&hash=271747183&search=external&type=GENERAL,,fdds/F45_Training_Incorporated_640736.pdf,ok_via_postback
BFK Franchise Company LLC,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=640185&hash=170828995&search=external&type=GENERAL,,fdds/BFK_Franchise_Company_LLC_640185.pdf,ok_via_postback
"Hi-5 ABA, Inc.",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641474&hash=471613892&search=external&type=GENERAL,,fdds/Hi-5_ABA_Inc_641474.pdf,ok_via_postback
"WinStar 85C, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641329&hash=1582335170&search=external&type=GENERAL,,fdds/WinStar_85C_LLC_641329.pdf,ok_via_postback
"Hi-5 ABA, Inc.",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639669&hash=561179883&search=external&type=GENERAL,,fdds/Hi-5_ABA_Inc_639669.pdf,ok_via_postback
G6 Hospitality Franchising LLC,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=642244&hash=1741337397&search=external&type=GENERAL,,fdds/G6_Hospitality_Franchising_LLC_642244.pdf,ok_via_postback
76 Franchise Group LLC (Regional Developer),https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641389&hash=1030075112&search=external&type=GENERAL,,fdds/76_Franchise_Group_LLC_Regional_Developer_641389.pdf,ok_via_postback
76 Franchise Group LLC,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641388&hash=270047708&search=external&type=GENERAL,,fdds/76_Franchise_Group_LLC_641388.pdf,ok_via_postback
G6 Hospitality Franchising LLC,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641280&hash=2030248709&search=external&type=GENERAL,,fdds/G6_Hospitality_Franchising_LLC_641280.pdf,ok_via_postback
G6 Hospitality Franchising LLC,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=640298&hash=550128099&search=external&type=GENERAL,,fdds/G6_Hospitality_Franchising_LLC_640298.pdf,ok_via_postback
Motel 6,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=640296&hash=1503329594&search=external&type=GENERAL,,fdds/Motel_6_640296.pdf,ok_via_postback
"Brew Culture Franchise, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641703&hash=74950045&search=external&type=GENERAL,,fdds/Brew_Culture_Franchise_LLC_641703.pdf,ok_via_postback
"7-Eleven, Inc",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641227&hash=449116199&search=external&type=GENERAL,,fdds/7-Eleven_Inc_641227.pdf,ok_via_postback
"SUPER 8 Worldwide, Inc.",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=640628&hash=1250533202&search=external&type=GENERAL,,fdds/SUPER_8_Worldwide_Inc_640628.pdf,ok_via_postback
"180 WATER FRANCHISING, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639761&hash=311157495&search=external&type=GENERAL,,fdds/180_WATER_FRANCHISING_LLC_639761.pdf,ok_via_postback
1-800-RADIATOR FRANCHISOR SPV LLC,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639679&hash=471749322&search=external&type=GENERAL,,fdds/1-800-RADIATOR_FRANCHISOR_SPV_LLC_639679.pdf,ok_via_postback
"Floyd's 99 Franchising, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=642079&hash=434899780&search=external&type=GENERAL,,fdds/Floyds_99_Franchising_LLC_642079.pdf,ok_via_postback
911 Restoration Franchise Inc.,https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641987&hash=390149153&search=external&type=GENERAL,,fdds/911_Restoration_Franchise_Inc_641987.pdf,ok_via_postback
"AD2019 Franchise, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641780&hash=1204459167&search=external&type=GENERAL,,fdds/AD2019_Franchise_LLC_641780.pdf,ok_via_postback
"K-9 Franchising, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641598&hash=1209671762&search=external&type=GENERAL,,fdds/K-9_Franchising_LLC_641598.pdf,ok_via_postback
"9Round Franchising, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=641029&hash=1143010106&search=external&type=GENERAL,,fdds/9Round_Franchising_LLC_641029.pdf,ok_via_postback
"i9 Sports, LLC",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=640449&hash=89250700&search=external&type=GENERAL,,fdds/i9_Sports_LLC_640449.pdf,ok_via_postback
"Hounds Mounds, Inc.",https://apps.dfi.wi.gov/apps/FranchiseSearch/details.aspx?id=639686&hash=89995993&search=external&type=GENERAL,,fdds/Hounds_Mounds_Inc_639686.pdf,ok_via_postback
